orig_index,Nom de l'objet,Programme,Adresse 1,Adresse 2,Adresse 3,Numéro postal,Localité,Canton - Département,Pays,Date de début de l'objet,Date de fin de l'objet,Concours ouvert à,Notes de l'objet,Auteurs,Rôle de l'auteur,Dossiers reliés,Pièces reliées,CombinedArtists,is_jury,paired_competitons,comp_id
426,Concours pour un groupe scolaire primaire à La Chaux-de-Fonds,,,,,,La Chaux-de-Fonds,,Suisse,1962-01-01,1963-01-01,,"Ouvert par la commune. Pas de dates de rendu ou d'ouverture, de conditions de participation (probablement architectes du canton) indiqués dans le BTSR","Waltenspühl, Paul;Bussat, Pierre;Favre-Bulle, A;Kleiber, Charles;Sandoz, A 2",Juré;Juré;Juré;1er  prix;Juré,,,"[array(['Waltenspühl, Paul'], dtype=object)
 array(['Bussat, Pierre'], dtype=object)
 array(['Favre-Bulle, A'], dtype=object)
 array(['Kleiber, Charles'], dtype=object)
 array(['Sandoz, A 2'], dtype=object)]",False,[436],426
427,"Concours pour une maison communale et école à Pregassona, Tessin, jugement",,,,,,Pregassona,,Suisse,1962-01-01,,,"Pas d'extrait de rapport du jury ni de dates de délibération ou de nombre de projets remis dans le BTSR, chercher dans Rivista tecnica.  1er prix 3'000.-  2e prix 2'600.-  3e prix 2'400.-  4e prix 2'000.-  Deux achats","Nessi, Luigi;Piazzoli, Aldo;Carloni, Tita;Schnebli, Dolf;Fiori, Lidia;Antonini, Giuseppe",Achat;Achat;3e prix;2e prix;4e prix;1er  prix,,,"[array(['Nessi, Luigi'], dtype=object)
 array(['Piazzoli, Aldo'], dtype=object)
 array(['Carloni, Tita'], dtype=object)
 array(['Schnebli, Dolf'], dtype=object)
 array(['Fiori, Lidia'], dtype=object)
 array(['Antonini, Giuseppe'], dtype=object)]",True,[417],427
428,Concours/Expertises sur divers Projets,,,,,,,,,1962-01-01,1984-01-01,,,,,0119.01.0034 ; 0119.01.0031 ; 0119.01.0029,,,False,[],428
429,Concours pour un gymnase à Bienne,Enseignement et recherche,,,,,Bienne,Berne,Suisse,1963-01-01,,,,,,0148.04.0668,,,False,[],429
430,Concours de la Maison européenne 1963,,,,,,,,,1963-01-01,1963-01-01,International,"Cinquième concours international (reconnu par l'UIA ) ouvert par la Foire internationale de Gand (palais des Floralies, Parc Gand). Construction d'une maison individuelle destinée à une famille comportant les parents et quatre enfants (ouvrier qualifié ou employé de même revenu). Pas d'indication de résultats dans le BTSR. Montant total des prix 375'000 FB","Albini, Franco;Lods, Marcel;Crappe, C;Malfait, J;Dubuisson, J;Bakema, J. B;Braem, R;Persin, H. P;Meyvaert, M. F;Eierman, Egon;Michels, J",Juré;Juré;Juré;Juré;3e prix;Juré;Juré;Juré;Juré;Juré;Juré,,,"[array(['Albini, Franco'], dtype=object)
 array(['Lods, Marcel'], dtype=object) array(['Crappe, C'], dtype=object)
 array(['Malfait, J'], dtype=object) array(['Dubuisson, J'], dtype=object)
 array(['Bakema, J. B'], dtype=object) array(['Braem, R'], dtype=object)
 array(['Persin, H. P'], dtype=object)
 array(['Meyvaert, M. F'], dtype=object)
 array(['Eierman, Egon'], dtype=object)
 array(['Michels, J'], dtype=object)]",False,[],430
431,"Concours Ecole, à Chêne-Bourg",Enseignement et recherche,"Bel-Air, av. de",,,,Chêne-Bourg,,Genève,1963-01-01,1964-01-01,,"Projet nommé ""Primevère"". Deux unités rectangulaires allongées disposées perpendiculairement l'une à l'autre. La première accueille des classes d'école enfantine (6 classes), le logement du concierge ainsi qu'une salle de gym tandis que la deuxième est prévue pour l'école primaire (5 classes auxquelles s'ajoutent les classes spécialisées). Les bâtiments comportent deux à trois niveaux.;Selon la base de donnée SIA Concours, ce projet a obtenu le 6e prix.","Gaillard, André;Gaillard, Francis;Moradpour, Billy",Architecte;Architecte;Architecte,0143.04.0349,,"[array(['Gaillard, André'], dtype=object)
 array(['Gaillard, Francis'], dtype=object)
 array(['Moradpour, Billy'], dtype=object)]",False,[],431
432,"Concours Palazzo dei Congressi, à Lugano",Culture et vie sociale,"Carlo-Cattaneo, viale",,,,Lugano,,Tessin,1963-01-01,1964-01-01,,"Concours pour un palais des congrès intégrant une construction existante, la villa Ciani. Bâtiment de trois niveaux construit sur une trame orthogonale sur laquelle les différentes unités sont disposées de manière irrégulière. La silhouette du bâtiment privilégie la succession d'avancées et de redans en façades, ainsi que de divers niveaux de couverture: emboîtement d'une série de volumes parallélipipédiques de tailles diverses. La couverture est partiellement utilisée comme terrasse.;La date n'est pas mentionnée.","Gaillard, André;Gaillard, Francis",Architecte;Architecte,0143.04.0338,,"[array(['Gaillard, André'], dtype=object)
 array(['Gaillard, Francis'], dtype=object)]",False,[],432
433,"Concours pour l'Eglise de Notre-Dame de la Paix, à La Chaux-de-Fonds",,,,,,La Chaux-de-Fonds,,Suisse,1963-01-01,1963-01-01,Invitation,Ouvert par la paroisse de l'Eglise de Notre-Dame de la Paix. Concours restreint entre cinq architectes invités. Pas d'indication BTSR des dates d'ouverture et de rendu,"Waltenspühl, Paul;Ledeur;Dumas, Pierre",Juré;Juré;5e prix,,,"[array(['Waltenspühl, Paul'], dtype=object)
 array(['Ledeur'], dtype=object) array(['Dumas, Pierre'], dtype=object)]",False,[434],433
434,"Concours pour l'Eglise de Notre-Dame de la Paix, à La Chaux-de-Fonds, jugement",,,,,,La Chaux-de-Fonds,,Suisse,1963-01-01,,,"Pas d'extrait de rapport du jury dans le BTSR, ni d'indication des dates de délibération ou de montants des prix. Trois projets remis dans les délais (pour cinq architectes invités). Le 1er prix reçoit le mandat d'exécution","Billeter, Maurice +;Billeter, Madame +;Coquoz, Raymond;Bueche, Jeanne",1er  prix;1er  prix;1er  prix;Architecte,,,"[array(['Billeter, Maurice', 'Billeter, Madame', 'Coquoz, Raymond'],
       dtype=object)
 array(['Bueche, Jeanne'], dtype=object)]",True,[433],434
435,"Concours pour un home pour aveugles âgés, à Ecublens",,"Chisaz, la, lieu-dit",,,,Ecublens,,Vaud,1963-01-01,1963-08-01,A. romand,"Ouvert par l'Asile des Aveugles, fondation à Lausanne, entre les architectes établis dans les cantons de Vaud, Genève, Fribourg, Neuchâtel et Valais. Extraits du règlement  et du programme BTSR 1963 p.361 et 371. Pas d'indication de date d'ouverture ou de rendu","Zumstein, Fernand;Maillard, Marcel;Lozeron, Arthur;Brunner, Paul;Porret, Etienne;Favre, Jacques;Bosset, Renaud de;Masson, Jean;Cérenville, Henri B. de ",Juré;Juré;Mention spéciale;Juré;Juré;Juré;2e prix;Voix consultative;Juré,,0207.04.0002/11,"[array(['Zumstein, Fernand'], dtype=object)
 array(['Maillard, Marcel'], dtype=object)
 array(['Lozeron, Arthur'], dtype=object)
 array(['Brunner, Paul'], dtype=object)
 array(['Porret, Etienne'], dtype=object)
 array(['Favre, Jacques'], dtype=object)
 array(['Bosset, Renaud de'], dtype=object)
 array(['Masson, Jean'], dtype=object)
 array(['Cérenville, Henri B. de'], dtype=object)]",False,[1637],435
436,"Concours pour un groupe scolaire primaire à La Chaux-de-Fonds, jugement",,,,,,La Chaux-de-Fonds,,Suisse,1963-01-01,,,Pas d'extrait de rapport du jury dans le BTSR ni de nombre de projets remis ou de dates de délibérations.  1er prix 6'000.-  2e prix 4'500.-  3e prix 3'500.-  4e prix 2'500.-  5e prix 2'000.-  6e prix 1'500.-  Deux achats 1'000.-,"Urech, Jean-Daniel, coll.;Kazemi, Hassan Ali;Musy, Eric;Debrot, Pierre-André +;Rollier, Claude +;Dubois 2 +;Monnier 2 +;Ditesheim, Maurice +;Coquoz +;Veuve, Léopold;Dupasquier, coll.;Rickenmann, Roger, coll.;Faessler, René;Lavizzari, Jean-Pierre;Bevilacqua, Mario","Achat;Achat;Juré, président;3e prix;3e prix;3e prix;2e prix;4e prix;4e prix;Juré;5e prix;6e rang;6e prix;1er  prix;3e prix",,,"[array(['Urech, Jean-Daniel, coll.'], dtype=object)
 array(['Kazemi, Hassan Ali'], dtype=object)
 array(['Musy, Eric'], dtype=object)
 array(['Debrot, Pierre-André', 'Rollier, Claude', 'Dubois 2', 'Monnier 2',
        'Ditesheim, Maurice', 'Coquoz', 'Veuve, Léopold'], dtype=object)
 array(['Dupasquier, coll.'], dtype=object)
 array(['Rickenmann, Roger, coll.'], dtype=object)
 array(['Faessler, René'], dtype=object)
 array(['Lavizzari, Jean-Pierre'], dtype=object)
 array(['Bevilacqua, Mario'], dtype=object)]",True,[426],436
437,"Concours pour une auberge communale et une grande salle à Echandens, jugement",,,,,,Echandens,,Vaud,1963-01-01,,,Pas d'extrait BTSR du rapport du jury ni d'indication de date de délibération ou de nombre de projets remis.  1er prix 2'600.-  2e prix 2'400.-  3e prix 2'200.-  4e prix 1'500.-  5e prix 1'300.-,"Quillet, Pierre;Hotz, David R +;Lonchamp, Jacques +;Murith, Yves &;Dupasquier, Gérald &;Martin, P 2;Tardin, Paul-Louis;Brugger, Frédéric","5e prix;3e prix;3e prix;4e prix;4e prix;4e prix;5e prix;Juré, suppléant",,,"[array(['Quillet, Pierre'], dtype=object)
 array(['Hotz, David R', 'Lonchamp, Jacques', 'Murith, Yves',
        'Dupasquier, Gérald', 'Martin, P 2'], dtype=object)
 array(['Tardin, Paul-Louis'], dtype=object)
 array(['Brugger, Frédéric'], dtype=object)]",True,[931],437
438,"Concours pour un village de vacances à Fiesch, jugement",,,,,,Fiesch,,Suisse,1963-01-01,,,"Pas d'extrait de rapport du jury ni d'indication des dates de délibération, du nombre de projets remis ou de montants des primes.  Cinq achats","Anthamatten, P;Grünwald, Félix;Remondino, E;Furrer, H +;Meichtry, Arnold +;Wenger, Peter &;Wenger, Heidi &;Sprung, P;Schmid, Pierre;Besmer, H;Morisod, Paul &;Kyburz, Jean &",4e prix;Achat;Achat;Achat;Achat;3e prix;3e prix;2e prix;5e prix;5e prix;3e prix;1er  prix,,,"[array(['Anthamatten, P'], dtype=object)
 array(['Grünwald, Félix'], dtype=object)
 array(['Remondino, E'], dtype=object)
 array(['Furrer, H', 'Meichtry, Arnold', 'Wenger, Peter', 'Wenger, Heidi',
        'Sprung, P'], dtype=object)
 array(['Schmid, Pierre'], dtype=object)
 array(['Besmer, H'], dtype=object)
 array(['Morisod, Paul, Kyburz, Jean'], dtype=object)]",True,[1901],438
439,"Concours pour une école normale, à Porrentruy",Enseignement et recherche,,,,,Porrentruy,,Jura,1963-01-01,,,,"Bueche, Etienne",,0148.04.0072,,"[array(['Bueche, Etienne'], dtype=object)]",False,[],439
440,Concours pour une église à Gland,,,,,,Gland,,Vaud,1963-01-01,1963-01-01,,"Concours de projets ouvert par l'Association pour la construction d'une église à Gland (sur mandat du Conseil de Paroisse et de ""la population"" ) entre les architectes de confession protestante et vaudois ou de confession protestante établis dans le canton avant le 1.1.1961. Dans le cas d'une association, l'un des associés au moins doit être de confession protestante. Pas d'indication de date d'ouverture ou de rendu dans le BTSR","Vouga, Jean-Pierre;Paréaz, Roger;Aubry, Frédéric;Blailé, G;Chanson, L;Reymond, Max 2;Matthey, L;Wasserfallen, Claude;Turrian, S;Tobler, R","Juré;Juré;Juré;Juré;Juré;Juré;Secrétaire;Juré, président;Juré, suppléant;Juré, président",,,"[array(['Vouga, Jean-Pierre'], dtype=object)
 array(['Paréaz, Roger'], dtype=object)
 array(['Aubry, Frédéric'], dtype=object)
 array(['Blailé, G'], dtype=object) array(['Chanson, L'], dtype=object)
 array(['Reymond, Max 2'], dtype=object)
 array(['Matthey, L'], dtype=object)
 array(['Wasserfallen, Claude'], dtype=object)
 array(['Turrian, S'], dtype=object) array(['Tobler, R'], dtype=object)]",False,[1591],440
441,Concours pour une nouvelle école secondaire et ménagère à Viège,,,,,,Visp,,Suisse,1963-01-01,1964-01-01,A. cantonal,"Pas d'indication de date d'ouverture ou de rendu dans le BTSR, ni de MO, de composition du jury ou de conditions de participation (probablement réservé aux architectes valaisans)",,,,,,False,[1653],441
442,"Concours pour une station d'épuration des eaux et concours d'idées pour l'aménagement du quartier de l'Aviron, à Vevey",,,,,,Vevey,,Vaud,1963-01-01,1964-02-01,A. cantonal,"Concours de projets et concours d'idées ouvert par le SIEG, Service intercommunal d'épuration des eaux et de traitement des gadoues, entre les architectes vaudois domiciliés professionellement en Suisse ou les architectes domiciliés dans le canton depuis le 1.1.1962 au moins. Extraits du règlement BTSR 1964 p.421","Tschumi, Frédéric;Lonchamp, Jacques;Gehrig, William;Felber, Jacques;Vincent, Pierre;Grangier, Edouard;Wasserfallen, Claude","Juré;Juré;Juré;Juré;Juré, suppléant;Juré, suppléant;Juré, président",,,"[array(['Tschumi, Frédéric'], dtype=object)
 array(['Lonchamp, Jacques'], dtype=object)
 array(['Gehrig, William'], dtype=object)
 array(['Felber, Jacques'], dtype=object)
 array(['Vincent, Pierre'], dtype=object)
 array(['Grangier, Edouard'], dtype=object)
 array(['Wasserfallen, Claude'], dtype=object)]",False,[1400],442
443,Concours Nuovo Ospedale Civico di Lugano,Santé et convalescence,"Tesserete, via","Torricelli, via",,,Lugano,,Tessin,1964-01-01,1965-01-01,,"Concours pour un hôpital à Lugano, projet nommé ""Vita"". Sur un soclede plan rectanguaire de 5 niveaux (dont deux sous-sols) avec patio central est posé une tour de sept étages. L'entresol est utilisé comme terrasse-jardin avec tea-room et chapelle. ;Les dates sont données par la base de données Concours SIA.","Gaillard, André;Gaillard, Francis",Architecte;Architecte,0143.04.0351,,"[array(['Gaillard, André'], dtype=object)
 array(['Gaillard, Francis'], dtype=object)]",False,[],443
444,Concours pour l'aménagement de la place du Marché à Montreux,,"Marché, place du",,,,Montreux,,Vaud,1964-01-01,1964-11-01,A. national,Concours d'idées ouvert par la Municipalité entre les architectes suisses établis en S. Extraits du règlement et du programme BTSR 1965 p.129. Pas d'indication de date d'ouverture ou de rendu dans le BTSR. Chappuis et Chométy participent-ils aux délibérations?,"Veuve, Léopold;Boudkov, Igor;Lamunière, Jean-Marc;Porret, Etienne;Sauvageat, Gustave;Chappuis, Aloïs;Chométy, Charles","Juré;Juré;3e catégorie;Juré;Juré;Juré;Juré, suppléant",,,"[array(['Veuve, Léopold'], dtype=object)
 array(['Boudkov, Igor'], dtype=object)
 array(['Lamunière, Jean-Marc'], dtype=object)
 array(['Porret, Etienne'], dtype=object)
 array(['Sauvageat, Gustave'], dtype=object)
 array(['Chappuis, Aloïs'], dtype=object)
 array(['Chométy, Charles'], dtype=object)]",False,[1921],444
445,"Concours pour l'aménagement place des Halles-Hôtel de Ville, à Lutry",Urbanisme,,,,,Lutry,,Suisse,1964-01-01,,,,"Sartoris, Alberto",,0172.04.0134,,"[array(['Sartoris, Alberto'], dtype=object)]",False,[],445
446,"Concours pour l'Institut de Sainte-Croix, La Tour-de-Trême",,,,,,La Tour-de-Trême,,Suisse,1964-01-01,1965-01-01,Invitation,"Concours restreint ouvert par la Maison mère de la Congrégation des Soeurs de Menzingen. Pas d'indication de composition du jury, de date d'ouverture ou de rendu dans le BTSR ",,,,,,False,[456],446
447,Concours pour le groupe scolaire de Wünnewyl,,,,,,Wünnewyl,,Suisse,1964-01-01,1965-01-01,,,,,,,,False,[2290],447
448,Concours pour le Temple de la Servette,,"Wendt, avenue",,,,Genève,,Suisse,1964-01-01,1965-01-01,,"Concours de projets ouvert par l'Eglise nationale protestante entre les architectes protestants suisses domiciliés et établis (propriétaires d'un bureau) dans le canton ou étrangers protestants domiciliés et établis (propriétaires d'un bureau) dans le canton. Dans le cas d'association d'architectes, tous les associés doivent être protestants. Extraits du règlement et du programme BTSR 1965 p.85","Waltenspühl, Paul;Payot, Louis;Grosgurin, Claude;Roy, J.-C;Frisch, J;Favre, Jacques;Billaud, André;Sauvin, J.-D;Jornot, Ch","Juré;Juré;Juré;Juré;Juré;Juré;Juré, suppléant;Juré, suppléant;Juré, président",,,"[array(['Waltenspühl, Paul'], dtype=object)
 array(['Payot, Louis'], dtype=object)
 array(['Grosgurin, Claude'], dtype=object)
 array(['Roy, J.-C'], dtype=object) array(['Frisch, J'], dtype=object)
 array(['Favre, Jacques'], dtype=object)
 array(['Billaud, André'], dtype=object)
 array(['Sauvin, J.-D'], dtype=object) array(['Jornot, Ch'], dtype=object)]",False,[1049],448
449,Concours pour le temple de la Servette,Religion,,,,,Genève,,Suisse,1964-01-01,1965-01-01,,"Projet dénommé ""Vie"". ;Les documents étaient conditionnés originalement en deux rouleaux: l'un portait l'inscription ""Concours Temple de la Servette, 1966"" et l'autre ""Concours Centre oecuménique à Chêne-Bourg"". ;Il semble que ce projet concerne plutôt le temple de la Servette. ;La base de données ""SIA concours"" qui indique pour le concours du Temple de la Servette les années 1964-1965.;La construction prévue comporte deux unités: un sanctuaire A au rez avec chapelle, salle annexe, sacristie, vestiaire; un sanctuaire B, avec salle polyvalente, vestiaire. Le sanctuaire B est disposé en surplomb au dessus du parvis. Deux types d'ouvertures dans les parois: allongées et étroites en meurtrières, ainsi qu'en bandeau en dessous de la couverture. Couverture plate végétalisée, dont la dalle est incurvée sur deux côtés vers le haut.;","Gaillard, André;Gaillard, Francis",Architecte;Architecte,0143.04.0346,,"[array(['Gaillard, André'], dtype=object)
 array(['Gaillard, Francis'], dtype=object)]",False,[],449
450,"Concours pour un groupe scolaire à Chêne-Bourg, jugement",,Campagne de Haller,,,,Chêne-Bourg,,Genève,1964-01-01,,,Pas de rapport du jury ni de dates de délibérations (cinq séances au total) dans le BTSR.  Treize projets remis.  1er prix 6'000.-  2e prix 5'500.-  3e prix 5'000.-  4e prix 4'500.-  5e prix 3'000.-  6e prix 2'000.-,"Billaud, Charles &;Billaud, Eric &;Billaud, André &;Nierlé, Pierre;Malnati, V.-A;Moradpour, B &;Gaillard, Francis &;Gaillard, André &;Bouvier, F;Guth, Antoine",3e prix;3e prix;3e prix;2e prix;5e prix;6e prix;2e prix;2e prix;1er  prix;4e prix,,,"[array(['Billaud, Charles', 'Billaud, Eric', 'Billaud, André',
        'Nierlé, Pierre'], dtype=object)
 array(['Malnati, V.-A'], dtype=object)
 array(['Moradpour, B', 'Gaillard, Francis', 'Gaillard, André',
        'Bouvier, F'], dtype=object)
 array(['Guth, Antoine'], dtype=object)]",True,[1149],450
451,Concours pour un ensemble paroissial catholique au Locle,,,,,,Le Locle,,Suisse,1964-01-01,1964-11-01,A. cantonal,"Concours de projets ouvert apparemment par la paroisse (quelle instance?) entre les architectes neuchâtelois. Pas d'indication de date de rendu, de conditions de participation ou de composition du jury dans le BTSR",,,,,,False,[2046],451
452,Concours pour une école normale d'instituteurs à Porrentruy,,,,,,Porrentruy,,Suisse,1964-01-01,1964-06-01,,"Ouvert par la DTP du canton de Berne, probablement entre les architectes du canton de Berne. Pas d'indication de date d'ouverture ou de rendu, chercher dans SBZ","Türler, Heinrich;Brechbühl, Otto;Guéniat, Ed;Petermann, M;Hess, Heinz;Moine, U;Huber, H;Billeter, Maurice;Brugger, Frédéric","Juré;Juré;Juré;Juré;Juré;Juré;Juré;2e prix;Juré, suppléant",,,"[array(['Türler, Heinrich'], dtype=object)
 array(['Brechbühl, Otto'], dtype=object)
 array(['Guéniat, Ed'], dtype=object)
 array(['Petermann, M'], dtype=object)
 array(['Hess, Heinz'], dtype=object) array(['Moine, U'], dtype=object)
 array(['Huber, H'], dtype=object)
 array(['Billeter, Maurice'], dtype=object)
 array(['Brugger, Frédéric'], dtype=object)]",False,[1791],452
453,Projet Concours Mount Olympus: 3 résidences à Hollywood,Habitation individuelle,,,,,Hollywood,,USA,1964-01-01,,Invitation,Concours réservé aux full members de l' American Institute of Architects,"Guignard, François;Sartoris, Alberto;Vuilleumier, Roland;Assfalg, Gilbert;Sandoz, Paul",Architecte assistant;;Architecte assistant;Architecte assistant;Architecte assistant,0172.04.0200,,"[array(['Guignard, François'], dtype=object)
 array(['Sartoris, Alberto'], dtype=object)
 array(['Vuilleumier, Roland'], dtype=object)
 array(['Assfalg, Gilbert'], dtype=object)
 array(['Sandoz, Paul'], dtype=object)]",False,[],453
